platenumber	row	column	data_subtypes
1	J	9	Morethan Plate Median
1	K	9	Lessthan Plate Median
1	L	9	Lessthan Plate Median
1	M	9	Lessthan Plate Median
1	N	9	Lessthan 25% Plate Median
1	O	9	Lessthan Plate Median
1	P	9	Lessthan Plate Median
1	A	10	Lessthan Plate Median
1	B	10	Lessthan Plate Median
1	C	10	Lessthan Plate Median
1	D	10	Lessthan Plate Median
1	E	10	Lessthan Plate Median
1	F	10	Lessthan Plate Median
1	G	10	Lessthan Plate Median
1	H	10	Lessthan Plate Median
1	I	10	Lessthan Plate Median
1	J	10	Lessthan Plate Median
1	K	10	Lessthan Plate Median
1	L	10	Lessthan Plate Median
1	M	10	Lessthan Plate Median
1	N	10	Lessthan Plate Median
1	O	10	Lessthan Plate Median
1	P	10	Lessthan Plate Median
1	A	11	Lessthan Plate Median
1	B	11	Lessthan Plate Median
1	C	11	Lessthan Plate Median
1	D	11	Lessthan Plate Median
1	E	11	Lessthan Plate Median
1	F	11	Lessthan Plate Median
1	G	11	Lessthan Plate Median
1	H	11	Lessthan Plate Median
1	I	11	Empty
1	J	11	Empty
1	K	11	Empty
1	L	11	Morethan Plate Median
1	M	11	Morethan Plate Median
1	N	11	Morethan Plate Median
1	O	11	Lessthan 25% Plate Median
1	P	11	Lessthan 25% Plate Median
1	A	12	Lessthan 25% Plate Median
1	B	12	Morethan 90% Plate Median
1	C	12	Morethan 90% Plate Median
1	D	12	Morethan 90% Plate Median
1	E	12	Lessthan Plate Median
1	F	12	Lessthan Plate Median
1	G	12	Lessthan Plate Median
1	H	12	Lessthan Plate Median
1	I	12	Lessthan Plate Median
1	J	12	Lessthan Plate Median
1	K	12	Lessthan Plate Median
1	L	12	Lessthan Plate Median
1	M	12	Lessthan Plate Median
1	N	12	Lessthan Plate Median
1	O	12	Lessthan Plate Median
1	P	12	Lessthan Plate Median
1	A	13	Empty
1	B	13	Pinning Error
1	C	13	Empty
1	D	13	Morethan Plate Median
1	E	13	Pinning Error
1	F	13	Morethan Plate Median
1	G	13	Lessthan 25% Plate Median
1	H	13	Pinning Error
1	I	13	Lessthan 25% Plate Median
1	J	13	Morethan 90% Plate Median
1	K	13	Pinning Error
1	L	13	Morethan 90% Plate Median
1	M	13	Lessthan Plate Median
1	N	13	Pinning Error
1	O	13	Lessthan Plate Median
1	P	13	Lessthan Plate Median
1	A	14	Lessthan Plate Median
1	B	14	Lessthan Plate Median
1	C	14	Morethan Plate Median
1	D	14	Lessthan Plate Median
1	E	14	Lessthan Plate Median
1	F	14	Lessthan Plate Median
1	G	14	Empty
1	H	14	Lessthan Plate Median
1	I	14	Empty
1	J	14	Empty
1	K	14	Empty
1	L	14	Morethan Plate Median
1	M	14	Morethan Plate Median
1	N	14	Morethan Plate Median
1	O	14	Lessthan 25% Plate Median
1	P	14	Lessthan 25% Plate Median
1	A	15	Lessthan 25% Plate Median
1	B	15	Morethan 90% Plate Median
1	C	15	Morethan 90% Plate Median
1	D	15	Morethan 90% Plate Median
1	E	15	Lessthan Plate Median
1	F	15	Lessthan Plate Median
1	G	15	Lessthan Plate Median
1	H	15	Lessthan Plate Median
1	I	15	Lessthan Plate Median
1	J	15	Lessthan Plate Median
1	K	15	Lessthan Plate Median
1	L	15	Lessthan Plate Median
1	M	15	Lessthan Plate Median
1	N	15	Lessthan Plate Median
1	O	15	Lessthan Plate Median
1	P	15	Lessthan Plate Median
1	A	16	Morethan Plate Median
1	B	16	Morethan Plate Median
1	C	16	Morethan Plate Median
1	D	16	Morethan Plate Median
1	E	16	Morethan Plate Median
1	F	16	Morethan Plate Median
1	G	16	Morethan Plate Median
1	H	16	Morethan Plate Median
1	I	16	Morethan Plate Median
1	J	16	Morethan Plate Median
1	K	16	Morethan Plate Median
1	L	16	Morethan Plate Median
1	M	16	Morethan Plate Median
1	N	16	Morethan Plate Median
1	O	16	Morethan Plate Median
1	P	16	Morethan Plate Median
1	A	17	Morethan Plate Median
1	B	17	Morethan Plate Median
1	C	17	Morethan Plate Median
1	D	17	Morethan Plate Median
1	E	17	Morethan Plate Median
1	F	17	Morethan Plate Median
1	G	17	Morethan Plate Median
1	H	17	Morethan Plate Median
1	I	17	Lessthan Plate Median
1	J	17	Lessthan Plate Median
1	K	17	Lessthan Plate Median
1	L	17	Lessthan Plate Median
1	M	17	Lessthan Plate Median
1	N	17	Lessthan Plate Median
1	O	17	Lessthan Plate Median
1	P	17	Lessthan Plate Median
1	A	18	Lessthan Plate Median
1	B	18	Lessthan Plate Median
1	C	18	Lessthan Plate Median
1	D	18	Lessthan Plate Median
1	E	18	Lessthan Plate Median
1	F	18	Lessthan Plate Median
1	G	18	Lessthan Plate Median
1	H	18	Lessthan Plate Median
1	I	18	Lessthan Plate Median
1	J	18	Lessthan Plate Median
1	K	18	Lessthan Plate Median
1	L	18	Lessthan Plate Median
1	M	18	Lessthan Plate Median
1	N	18	Lessthan Plate Median
1	O	18	Lessthan Plate Median
1	P	18	Lessthan Plate Median
1	A	19	Morethan 90% Plate Median
1	B	19	Morethan 90% Plate Median
1	C	19	Morethan 90% Plate Median
1	D	19	Morethan 90% Plate Median
1	E	19	Morethan 90% Plate Median
1	F	19	Morethan 90% Plate Median
1	G	19	Morethan 90% Plate Median
1	H	19	Morethan 90% Plate Median
1	I	19	Morethan 90% Plate Median
1	J	19	Morethan 90% Plate Median
1	K	19	Morethan 90% Plate Median
1	L	19	Morethan 90% Plate Median
1	M	19	Morethan 90% Plate Median
1	N	19	Morethan 90% Plate Median
1	O	19	Morethan 90% Plate Median
1	P	19	Morethan Plate Median
1	A	20	Morethan Plate Median
1	B	20	Morethan Plate Median
1	C	20	Morethan Plate Median
1	D	20	Morethan Plate Median
1	E	20	Morethan Plate Median
1	F	20	Morethan Plate Median
1	G	20	Morethan Plate Median
1	H	20	Morethan Plate Median
1	I	20	Pinning Error
1	J	20	Pinning Error
1	K	20	Pinning Error
1	L	20	Pinning Error
1	M	20	Pinning Error
1	N	20	Pinning Error
1	O	20	Pinning Error
1	P	20	Pinning Error
1	A	21	Pinning Error
1	B	21	Pinning Error
1	C	21	Pinning Error
1	D	21	Pinning Error
1	E	21	Pinning Error
1	F	21	Pinning Error
1	G	21	Pinning Error
1	H	21	Morethan Plate Median
1	I	21	Morethan Plate Median
1	J	21	Morethan Plate Median
1	K	21	Morethan Plate Median
1	L	21	Morethan Plate Median
1	M	21	Morethan Plate Median
1	N	21	Morethan Plate Median
1	O	21	Morethan Plate Median
1	P	21	Morethan Plate Median
1	A	22	Morethan Plate Median
1	B	22	Morethan Plate Median
1	C	22	Morethan Plate Median
1	D	22	Morethan Plate Median
1	E	22	Morethan Plate Median
1	F	22	Morethan Plate Median
1	G	22	Morethan Plate Median
1	H	22	Morethan Plate Median
1	I	22	Morethan Plate Median
1	J	22	Morethan Plate Median
1	K	22	Morethan Plate Median
1	L	22	Morethan Plate Median
1	M	22	Morethan Plate Median
1	N	22	Morethan Plate Median
1	O	22	Morethan Plate Median
1	P	22	Morethan Plate Median
1	A	23	Morethan Plate Median
1	B	23	Morethan Plate Median
1	C	23	Morethan Plate Median
1	D	23	Morethan Plate Median
1	E	23	Morethan Plate Median
1	F	23	Morethan Plate Median
1	G	23	Morethan Plate Median
1	H	23	Morethan Plate Median
1	I	23	Morethan Plate Median
1	J	23	Morethan Plate Median
1	K	23	Morethan Plate Median
1	L	23	Morethan Plate Median
1	M	23	Morethan Plate Median
1	N	23	Morethan Plate Median
1	O	23	Morethan Plate Median
1	P	23	Morethan Plate Median
1	A	24	Morethan Plate Median
1	B	24	Morethan Plate Median
1	C	24	Morethan Plate Median
1	D	24	Morethan Plate Median
1	E	24	Morethan Plate Median
1	F	24	Morethan Plate Median
1	G	24	Morethan Plate Median
1	H	24	Morethan Plate Median
1	I	24	Morethan Plate Median
1	J	24	Morethan Plate Median
1	K	24	Morethan Plate Median
1	L	24	Morethan Plate Median
1	M	24	Morethan Plate Median
1	N	24	Morethan Plate Median
1	O	24	Morethan Plate Median
1	P	24	Morethan Plate Median
